RETAILER_CONTACT_CODE,RETAILER_SITE_CODE,FIRST_NAME,LAST_NAME,JOB_POSITION_EN,EXTENSION,FAX,E_MAIL,GENDER
89,76,Ingrid,Amato,Stock Manager,,1 (212) 765-4628,IngridA@mktplace7.net,F
90,77,Roberta,Costis,Chief Purchaser,,1 (212) 477-4632,RobertaC@mktplace7.net,F
91,80,George,MacMahon,Chief Purchaser,,1 (603) 448-6412,MacMahon@jniinternational.net,M
92,83,Andrea,Kennedy,Stock Manager,,1 (503) 285-0894,Kennedy@tamarackeight.com,F
93,82,Ted,Knell,Assistant Purchaser,4458.0,1 (701) 223-5721,Knel@tamarackeight.com,M
94,81,Julia,Trebino,Site Manager,,1 (417) 865-4911,Trebino@tamarackeight.com,F
95,87,Jennifer,Gomes,Site Manager,,1 (423) 266-4721,G1289@emertxe.com,F
96,91,Timothy,Moon,Site Assistant Manager,,1 (304) 343-4560,M0019@emertxe.com,M
97,90,Paul,Fischer,Stock Manager,,1 (206) 362-6645,F9943@emertxe.com,M
98,89,Derek,Wilkes,Site Assistant Manager,,1 (703) 549-4896,W3219@emertxe.com,M
99,86,Sarah,Klausen,District Manager,,1 (405) 946-4321,K1293@emertxe.com,F
100,85,Amanda,Yates,Stock Manager,,1 (702) 369-2274,Y2883@emertxe.com,F
101,84,Paula,Schmidt,Assistant Purchaser,,1 (702) 882-0978,S8832@emertxe.com,F
102,88,Micheal,Tao,District Manager,445.0,1 (713) 524-3215,T8839@emertxe.com,M
103,92,Jack,Murphy,District Manager,,1 (305) 557-5478,Murphy@eyedimensions3.com,M
104,93,Gillian,Sumi,Site Assistant Manager,1231.0,1 (404) 653-3472,Sumi@eyedimensions3.com,F
105,94,Glen,Claydon,Site Manager,,1 (972) 247-4871,Claydon@eyedimensions3.com,M
106,97,Helena,Buhlman,Stock Manager,,1 (619) 223-6548,Buhlman@donovansshops.net,F
107,99,Philip,Lindacker,Chief Purchaser,,1 (415) 759-1367,Lindacker@donovansshops.net,M
108,96,Tony,Ramirez,Stock Manager,3490.0,1 (310) 281-5444,Ramirez@donovansshops.net,M
109,98,Maria,Cornell,District Manager,542.0,1 (415) 759-3215,Cornell@donovansshops.net,F
110,95,Peter,Ricci,District Manager,,1 (213) 747-4456,Ricci@donovansshops.net,M
111,100,Philip,Fitzpatrick,District Manager,,1 (505) 881-5789,Fitzpatrick@f76.net,M
112,101,Elizabeth,Spagnoli,Site Manager,112.0,1 (512) 451-5478,Spagnoli@f76.net,F
113,102,Kenneth,Jones,District Manager,,1 (606) 244-2691,Purchasing@trailmasterz80.net,M
114,104,Laura,Chaffer,Stock Manager,1222.0,1 (518) 434-7834,LauraC@zxyznet.net,F
115,103,Angela,Pathak,District Manager,,1 (415) 642-8746,AngelaP@zxyznet.net,F
116,107,Arthur,Fogarty,Stock Manager,,1 (972) 247-5888,ArtF@zxyznet.net,M
117,108,Tom,Randell,Site Manager,,1 (801) 978-4309,TomR@zxyznet.net,M
118,105,Joan,Wilson,Stock Manager,6564.0,1 (212) 535-1649,JoanW@zxyznet.net,F
119,106,Mark,Digiannato,Chief Purchaser,,1 (212) 765-1915,MarkD@zxyznet.net,M
120,110,Lena,Lattrez,Site Manager,487.0,1 (803) 571-7802,LL@ghni7.com,F
121,109,Stephanie,Kosawski,Site Manager,,1 (919) 968-3431,SK@ghni7.com,F
122,111,Fraser,Bradley,Assistant Purchaser,,1 (602) 788-6672,Fbradley@bve7.net,F
123,112,Sharon,Porter,Assistant Purchaser,,1 (415) 642-5448,Sporter@bve7.net,F
124,113,Terry,Swift,Stock Manager,1233.0,1 (303) 449-6541,JJ@ipsjptl.net,F
125,115,Amy,Turner,Assistant Purchaser,,1 (802) 229-9098,Turner@edsstore.com,F
126,117,Joanne,Simmons,Site Manager,1112.0,1 (206) 292-5489,Simmons@edsstore.com,F
127,114,Melanie,Ayling,Assistant Purchaser,,1 (713) 524-8785,Ayling@edsstore.com,F
128,118,David,Huang,Chief Purchaser,,1 (608) 223-5803,Huang@edsstore.com,M
129,119,Cynthia,Walker,Chief Purchaser,,1 (307) 234-5631,Walker@edsstore.com,F
130,116,Matthew,Bolas,District Manager,,1 (804) 226-5462,Bolas@edsstore.com,M
131,121,Martha,O'Rourke,District Manager,687.0,1 (904) 221-2378,Martha@marakis.com,F
132,120,Barbara,Reese,Site Manager,,1 (302) 736-3751,Barb@marakis.com,F
133,122,Nicholas,Patterson,Assistant Purchaser,,1 (305) 557-1325,Nick@marakis.com,M
134,123,Rachel,Foth,Assistant Purchaser,,1 (404) 766-4392,Rachel@marakis.com,F
135,128,Craig,Stollard,Site Manager,457.0,1 (305) 557-1544,Stollard@cc87.com,M
136,124,Henry,Collins,Site Manager,,1 (310) 281-5400,Collins@cc87.com,M
137,129,Conrad,Fietzer,Chief Purchaser,321.0,1 (404) 653-3333,Fietzer@cc87.com,M
138,125,Karen,Harvey,Assistant Purchaser,,1 (619) 223-3165,Harvey@cc87.com,F
139,127,Thomas,Richter,Assistant Purchaser,,1 (202) 265-0543,Richter@cc87.com,M
140,126,David,Latella,Stock Manager,,1 (303) 808-2992,Latella@cc87.com,M
141,130,Sean,Braden,District Manager,1112.0,1 (205) 870-2126,Braden@connorstores.com,M
142,133,Matthew,Kearney,District Manager,,1 (601) 957-4990,Kearney@connorstores.com,M
143,134,Gabrielle,Meda,Assistant Purchaser,64.0,1 (518) 523-6412,Meda@connorstores.com,F
144,131,Monica,Flores,Site Manager,,1 (617) 268-3091,Flores@connorstores.com,F
145,132,Jeanne,Rodenberg,District Manager,8.0,1 (617) 268-4921,Rodenberg@connorstores.com,F
146,135,Janet,Duggan,District Manager,,1 (303) 449-7887,jd@byathread3.com,F
147,137,Jonathon,Braith,District Manager,,1 (801) 978-5412,jb@byathread3.com,M
148,136,Wayne,Anderson,Assistant Purchaser,,1 (303) 808-5403,wa@byathread3.com,M
149,141,Angelina,Karia,District Manager,,1 (714) 563-6783,Karia@hmincnet.com,F
150,140,Clarence,Palmer,Assistant Purchaser,,1 (501) 821-7731,Palmer@hmincnet.com,M
151,142,Samuel,Lynch,Site Manager,456.0,1 (310) 207-4587,Lynch@hmincnet.com,M
152,139,Ingrid,Weston,District Manager,,1 (520) 575-6458,Weston@hmincnet.com,F
153,138,Diane,Huang,Site Manager,,1 (602) 788-4556,Huang@hmincnet.com,F
154,143,Henry,Cai,Assistant Purchaser,,1 (702) 362-9487,Cai@hmincnet.com,M
155,148,Mark,Picarello,Site Manager,,1 (218) 722-4311,Picarello@mozzer88.com,M
156,149,Kevin,Faber,Chief Purchaser,,1 (605) 342-8752,Faber@mozzer88.com,M
157,146,Larry,Seymour,Stock Manager,3495.0,1 (317) 573-0634,Seymour@mozzer88.com,M
158,144,Stephen,Kimura,Chief Purchaser,,1 (208) 389-0064,Kimura@mozzer88.com,M
159,145,Ellen,Tondera,Chief Purchaser,435.0,1 (773) 227-3124,Tondera@mozzer88.com,F
160,147,Susan,Bernat,Stock Manager,,1 (313) 894-5432,Bernat@mozzer88.com,F
161,150,Charles,Schilling,Assistant Purchaser,654.0,1 (907) 272-4732,pumped@houseofwaresfr.com,M
162,151,Ryan,Livingston,Assistant Purchaser,,1 (808) 737-0961,Livingston@cc4golf.com,M
163,153,Vinay,Acharya,Site Assistant Manager,,1 (303) 449-1786,Acharya@utc67.com,M
164,152,Carl,Armstead,Site Assistant Manager,,1 (619) 223-2358,Armstead@utc67.com,M
165,154,Robert,Young,Assistant Purchaser,,1 (303) 808-2341,Young@utc67.com,M
166,155,Evelyn,Maloney,Site Assistant Manager,,1 (319) 390-5310,Maloney@amerih.net,F
167,158,Brian,Acker,Site Assistant Manager,,1 (617) 742-9745,Acker@amerih.net,M
168,163,Russell,Martin,Site Assistant Manager,,1 (215) 925-9321,Martin@amerih.net,M
169,162,Maurice,Engels,Site Manager,,1 (212) 535-3166,Engels@amerih.net,M
170,157,Kathleen,Webb,Site Assistant Manager,,1 (207) 774-1568,Webb@amerih.net,F
171,161,Jason,Bingley,Site Manager,12.0,1 (212) 620-1955,Bingley@amerih.net,M
172,156,Kelly,Marshall,Assistant Purchaser,1125.0,1 (785) 273-5453,Marshall@amerih.net,F
173,160,Richard,Austin,Site Manager,,1 (212) 620-9173,Austin@amerih.net,M
174,159,Ronald,Leboeuf,Chief Purchaser,,1 (609) 344-2211,Leboeuf@amerih.net,M
175,165,Rebbeca,Kaplan,Site Manager,,1 (303) 449-5774,Kaplan@westonoutfitter.com,F
176,167,Patricia,Morgan,Assistant Purchaser,,1 (504) 924-6521,Morgan@westonoutfitter.com,F
177,164,Nicole,Heinkel,Site Manager,64.0,1 (619) 223-1245,Heinkel@westonoutfitter.com,F
178,166,Louis,Feldcamp,Assistant Purchaser,,1 (303) 808-6548,Feldcamp@westonoutfitter.com,M
179,197,Bernard,Boivin,Site Assistant Manager,,+33 3 17 17 67 23,Boivin@wndee.net,M
180,195,André,Katz,Assistant Purchaser,,+33 1 72 25 34 53,Katz@wndee.net,M
181,196,Jacques,Lemieux,Site Assistant Manager,,+33 1 92 93 67 81,Lemieux@wndee.net,M
182,198,Martin,Faucher,Assistant Purchaser,,+33 4 78 09 48 61,Faucher@spclub67.com,M
183,199,Paul,Houle,Stock Manager,,+37 4 68 92 06 78,Houle@spclub67.com,M
184,200,Stéphanie,Hatley,Site Assistant Manager,,+33 2 97 38 67 87,Purchaser@anprna.net,F
185,203,Françoise,Cartier,Assistant Purchaser,,+33 1 15 17 65 89,Cartier@cordagesdiscount.com,F
186,204,Fabien,Deguerre,Stock Manager,,+33 1 33 98 31 25,Deguerre@cordagesdiscount.com,M
187,202,Robert,Drouin,Assistant Purchaser,,+33 4 35 22 65 42,Drouin@cordagesdiscount.com,M
188,201,Armand,Letendre,Site Manager,,+33 4 29 82 64 83,Letendre@cordagesdiscount.com,M
189,207,Lucie,Belisle,Chief Purchaser,,+33 5 40 47 76 53,Belisle@aentz.com,F
190,206,Gabriel,Brien,Stock Manager,,+33 4 46 43 47 17,Brien@aentz.com,M
191,205,Jean,Daumont,Assistant Purchaser,,+33 5 32 59 87 69,Daumont@aentz.com,M
192,208,Maurice,Joliette,Chief Purchaser,,+33 3 86 75 38 39,Joliette@aentz.com,M
193,209,Jacques,Lalumière,Assistant Purchaser,,+33 4 16 25 34 99,Stockroom@oetl12.com,M
194,214,Pierre,Aubert,Site Assistant Manager,,+33 3 47 52 18 90,Aubert@csauvage.net,M
195,210,Marc,Caron,District Manager,,+33 4 73 38 24 52,Caron@csauvage.net,M
196,213,Robert,Desautels,Stock Manager,3322.0,+33 1 25 46 41 51,Desautels@csauvage.net,M
197,211,Chantale,Gagnon,Chief Purchaser,,+33 5 48 23 19 34,Gagnon@csauvage.net,F
198,212,Jean,Islet,Chief Purchaser,,+33 4 67 63 87 09,Islet@csauvage.net,M
199,215,France,Anbert,Site Assistant Manager,453.0,+33 2 07 52 48 97,Anbert@grandchoixnet.com,F
200,218,Jacqueline,Faubert,District Manager,,+33 2 52 31 11 44,Faubert@grandchoixnet.com,F
201,217,Michel,Forestier,Site Manager,,+33 3 17 28 06 75,Forestier@grandchoixnet.com,M
202,216,Marc,Laverdure,Stock Manager,,+33 1 45 25 33 23,Laverdure@grandchoixnet.com,M
203,222,Jean-Pierre,Bobet,District Manager,,+33 1 02 30 77 62,JPB@lbfnetproc.com,M
204,223,Brigitte,Chartrand,Assistant Purchaser,,+33 1 33 33 02 09,Chartrand@lbfnetproc.com,F
205,220,Paul,Dupuis,District Manager,,+33 4 68 04 86 96,Dupuis@lbfnetproc.com,M
206,221,Barbara,Hudon,District Manager,,+33 2 49 08 59 67,Hudon@lbfnetproc.com,F
207,219,Pauline,Lemieux,District Manager,,+33 4 42 17 83 65,Lemieux@lbfnetproc.com,F
208,224,Francisco,López,Site Manager,,+(529) 888 7835,LopezADC@yalamowww.com,M
209,225,Pedro,García,Chief Purchaser,,+(525) 549 1336,GarciaADC@yalamowww.com,M
210,226,Manuel,Romero,Stock Manager,,+(525) 684 7119,RomeroADC@yalamowww.com,M
211,227,Mauricio,Rojas,Assistant Purchaser,,+(523) 443 6848,RojasADC@yalamowww.com,M
212,228,Cristina,Macías,Chief Purchaser,,+(523) 226 6977,MaciasADC@yalamowww.com,F
213,229,Georgina,Cruz,Assistant Purchaser,,+(528) 366 6717,,F
214,230,Verónica,Carcaño,Site Assistant Manager,456.0,+(525) 645 9200,Carcano@merkados6.com,F
215,231,Sandra,López,District Manager,,+(525) 515 4435,Lopez@merkados6.com,F
216,232,María,González,Stock Manager,,+(525) 670 0200,Gonzalez@merkados6.com,F
217,233,Guadalupe,Navas,Chief Purchaser,,+(525) 695 3216,Navas@merkados6.com,M
218,31,Isabelle,Jackson,Site Manager,,1 (902) 550-1609,Orders@aci1.com,F
219,235,Ryo,Amano,Chief Purchaser,,81-6-939-5559,Amano@jirogolf.com,M
220,236,Akihisa,Furukawa,Stock Manager,,81-82-111-3266,Furukawa@nipponq7.net,M
221,237,Tatsunori,Hanagata,Chief Purchaser,,81-3-1888-7145,Hanagata@hinodemegane.com,M
222,238,Naoto,Hirakawa,Site Manager,,81-3-1923-6358,Hirakawa@hinodemegane.com,M
223,239,Kazuhiko,Hoshi,Stock Manager,,81-6-587-0010,Hoshi@chueihyakkaten.net,M
224,240,Masaharu,Kai,Site Manager,,81-92-985-2334,Kai@jirogolf.com,M
225,241,Katsumi,Kaizu,Site Assistant Manager,,81-22-555-5188,Kaizu@jirogolf.com,M
226,242,Isao,Kato,Stock Manager,,81-3-6274-4211,IsaoK@youhinten21.net,M
227,243,Takuya,Kimura,Stock Manager,,81-3-9253-8420,Kimura@kanjosennetinc.com,M
228,244,Shinya,Kitayama,Chief Purchaser,,81-82-565-2259,Kitayama@jirogolf.com,M
229,245,Atsushi,Kobayashi,Site Assistant Manager,,81-82-541-2157,AtsushiL@youhinten21.net,M
230,246,Isamu,Kuroshima,Site Manager,,81-82-897-3266,IsamuK@youhinten21.net,M
231,247,Masao,Kusanagi,Chief Purchaser,,81-3-5547-6210,MasaoK@youhinten21.net,M
232,248,Akira,Matsutoya,District Manager,,81-92-211-6512,AM@hgs10.jp,M
233,249,Shigehisa,Murayama,District Manager,,81-6-652-0102,SM@hgs10.jp,M
234,250,Koji,Nakano,Chief Purchaser,,81-3-3333-6667,KN@hgs10.jp,M
235,251,Takeo,Nijima,Chief Purchaser,,81-3-5508-3687,TN@hgs10.jp,M
236,252,Hiroshi,Nomura,District Manager,,81-3-7254-1432,HN@hgs10.jp,M
237,253,Norio,Saito,Site Assistant Manager,,81-92-771-8958,NSaito@kittoz.net,M
238,254,Kinya,Shoji,Chief Purchaser,,81-22-888-1667,KShoji@kittoz.net,M
239,255,Kazuo,Sonezaki,Site Assistant Manager,,81-3-4782-3513,KSonezaki@kittoz.net,M
240,256,Kazuaki,Tachibana,Stock Manager,,81-6-882-1690,Tachibana@kanjosennetinc.com,M
241,257,Goro,Terauchi,Site Manager,,81-6-439-0002,Terauchi@kanjosennetinc.com,M
242,258,Tatsuhiko,Yamaguchi,Site Assistant Manager,,81-82-989-5478,Yamaguchi@kanjosennetinc.com,M
243,259,Kentaro,Yamamura,Stock Manager,,81-6-171-1985,Yamamura@kanjosennetinc.com,M
257,260,Jenny,Nilsson,Stock Manager,,+(46) 08 692 886,JNilsson@cspec1.com,F
258,261,Eva,Jansson,Assistant Purchaser,,+(46) 570 467 861,EJansson@cspec1.com,F
259,262,Jan-Erik,Wennström,Site Manager,,+(46) 054 330 209,JWennström@cspec1.com,M
260,263,Einar,Börjesson,Assistant Purchaser,,+(46) 240 968 300,EBörjesson@cspec1.com,M
261,264,Jörgen,Utmark,Site Assistant Manager,,+(46) 060 456 436,JUtmark@cspec1.com,M
262,265,Johan,Ekman,District Manager,,+(42) 278 478 323,JEkman@sportjonas.com,M
263,266,Filip,Olofsson,Assistant Purchaser,,+(46) 040 936 781,FOlofsson@sportjonas.com,M
264,267,Britt-Marie,Lind,Site Manager,,+(46) 031 550 215,BLind@sportjonas.com,F
265,268,Dan,Berg,Site Manager,,+(46) 08 896 568,DBerg@sportjonas.com,M
266,269,Harry,Einarsson,Stock Manager,,+(46) 08 523 190,HEinarsson@grandchoixnet.com,M
267,270,Bengt,Blom,Stock Manager,,+(46) 040 736 787,BBlom@grandchoixnet.com,M
268,271,Barbara,Fredlund,Site Manager,,+(46) 031 852 015,BFredlund@trsport.com,F
269,272,Edo,Das,Assistant Purchaser,,+31(0)229 546 17 26,EDas@itwunderz.net,M
270,273,Ineke,de Klerck,Site Manager,,+31 (0)57 002 77 51,Klerck@itwunderz.net,F
271,274,Maartje,Bestevaar,Site Assistant Manager,3332.0,+31 (0)70 727 53 32,MBestevaar@itwunderz.net,F
272,275,Gerrit,Jeuring,Assistant Purchaser,,+31 (0)20 450 66 52,GJeuring@itwunderz.net,M
273,276,Dirk-Jaap,Ommeland,Site Assistant Manager,, +31 (0)20 467 87 60,DOmmeland@itwunderz.net,M
274,277,Cees,de Ruiter,Site Assistant Manager,,+31 (0)182 34 55 21,Ruiter@zulnet12.net,M
275,278,Brian,Beukelkamp,Site Manager,,+31 (0)20 692 93 06,Brian@getoutnd.com,M
276,279,Gert,van der Brom,Assistant Purchaser,,+31 (0)83 522 36 69,Gert@getoutnd.com,M
277,280,Barbara,Habaai,Site Manager,,+31 (0)20 511 57 11,BHabaai@zonzoekersit.com,F
278,281,Annechien,Joustra-Dijk,Site Assistant Manager,,+31(0)294 201 88 54,AJoustra-Dijk@zonzoekersit.com,F
279,282,Gerard,Pieterse,Chief Purchaser,,+31(0)573 721 88 46,GPieterse@zonzoekersit.com,M
280,283,Bert,Zegwaard,Stock Manager,,+31(0)595 349 56 23,BZegwaard@zonzoekersit.com,M
281,284,Bert,Bakker,Assistant Purchaser,,+31(0)573 721 9775,BBakker@beterbuitenleven.com,M
282,285,Erwin,de Jonge,Site Assistant Manager,,+31 (0)34 654 53 18,EdeJonge@beterbuitenleven.com,M
283,286,Ivo,de Leeuw,Site Manager,,+31 (0)20 618 86 62,IdeLeeuw@beterbuitenleven.com,M
284,287,Douwe,Draaier,Stock Manager,,+31 (0)20 672 28 31,DDraaier@beterbuitenleven.com,M
285,288,Arie,Spoor,Site Manager,151.0,+31(0)299 34397 41,ASpoor@beterbuitenleven.com,M
286,289,Bill,Baas,Site Manager,,+31 (0)182 45 61 00,BBaas@exsp2k.com,M
287,290,Lydia,Brood,Assistant Purchaser,,+31(0)597 329 55 43,LBrood@exsp2k.com,F
288,291,Ellen,uit den Boogaard,Chief Purchaser,,+31 (0)10 727 65 02,EuitdenBoogaard@exsp2k.com,F
289,304,Alberto,Cigli,Site Assistant Manager,,+(39) 051 28 92 422,ACigli@nonsoloneve.com,M
290,305,Alessia,Montenero,District Manager,,+(39) 035 41 70 902,AMontenero@nonsoloneve.com,F
291,306,Andrea,Teglia,Assistant Purchaser,,+(39) 055 88 23 455,ATeglia@nonsoloneve.com,M
292,307,Franco,Donatelli,Stock Manager,,+(39) 02 66 61 061,FDonatelli@nonsoloneve.com,M
293,308,Gianfranco,Bellezzi,Stock Manager,,+(39) 06 56 17 755,GBellezzi@nonsoloneve.com,M
294,309,Giuliano,Guidi,Assistant Purchaser,,+(39) 011 89 32 239,GGuidi@paradisoutl.net,M
295,310,Fabio,Montessori,Site Assistant Manager,,+(39) 010 11 16 161,FMontessori@paradisoutl.net,M
296,311,Daniela,Fermi,Site Manager,,+(39) 081 49 86 509,DFermi@paradisoutl.net,F
297,312,Massimo,Donizelli,Chief Purchaser,,+(39) 06 56 17 755,MDonizelli@paradisoutl.net,M
298,313,Elena,Rossi,Stock Manager,,+(39) 06 64 79 431,ERossi@bell1n1.com,F
299,314,Enrico,Peco,Chief Purchaser,,+(39) 041 66 61 061,EPeco@bell1n1.com,M
300,315,Francesca,Iolli,Stock Manager,,+(39) 02 79 53 477,FIolli@brambilla8.com,F
301,316,Steve,Girvan,Assistant Purchaser,,+(61) 03 9532 4248,SGirvan@bbeds.com,M
302,317,Doug,Crease,Site Assistant Manager,,+(61) 07 7237 1063,DCrease@kangakampers.com,M
303,318,Jake,Jenkins,Site Manager,,+(61) 00 7267 7092,JJenkins@bbeds.com,M
304,319,Scott,Crawford,Assistant Purchaser,,+(61) 09 9234 2834,SCrawford@bbeds.com,M
