SALES_STAFF_CODE,FIRST_NAME,LAST_NAME,POSITION_EN,WORK_PHONE,EXTENSION,FAX,EMAIL,DATE_HIRED,SALES_BRANCH_CODE
27,Anders,Nilsson,Level 2 Sales Representative,+(46) 08 753 116,236.0,+(46) 08 752 592,ANilsson@grtd123.com,1998-08-14,15
28,Bengt,Gradin,Level 1 Sales Representative,+(46) 08 753 116,284.0,+(46) 08 752 592,BGradin@grtd123.com,1999-01-13,15
29,Irene,Engelbrektsson,Level 2 Sales Representative,+(46) 08 753 116,213.0,+(46) 08 752 592,IEngelbrektsson@grtd123.com,1998-02-18,15
30,Karin,Bergström,Branch Manager,+(46) 08 753 116,215.0,+(46) 08 752 592,KBergstrom@grtd123.com,1998-04-27,15
43,Martine,Vachon,Level 2 Sales Representative,1 (403) 232-5986,312.0,1 (403) 232-5831,MVachon@grtd123.com,1998-03-18,17
44,Harold,Townsend,Level 3 Sales Representative,1 (403) 232-5986,315.0,1 (403) 232-5831,HTownsend@grtd123.com,1992-08-08,17
45,Sally,White,Branch Manager,1 (403) 232-5986,317.0,1 (403) 232-5831,SWhite@grtd123.com,1992-03-26,17
46,Sherry,Rowland,Level 2 Sales Representative,1 (403) 232-5986,325.0,1 (403) 232-5831,SRowland@grtd123.com,1997-02-13,17
47,Frank,Bretton,District Manager,1 (403) 232-5986,301.0,1 (403) 232-5831,FBretton@grtd123.com,2000-03-01,17
48,Georges,Saint-Germain,Branch Manager,1 (416) 493-5595,1245.0,1 (416) 496-9667,GSaintgermain@grtd123.com,1991-10-27,18
49,Carole,Claudel,Level 2 Sales Representative,1 (416) 493-5595,2378.0,1 (416) 496-9667,CClaudel@grtd123.com,1994-08-12,18
50,Donald,Chow,Level 3 Sales Representative,1 (416) 493-5595,6587.0,1 (416) 490-7420,DChow@grtd123.com,1990-04-14,18
51,Samantha,Pierce,Level 2 Sales Representative,1 (416) 493-5595,4589.0,1 (416) 490-7420,SPierce@grtd123.com,1998-03-15,18
52,Brendon,Pike,Level 1 Sales Representative,1 (416) 493-5595,2189.0,1 (416) 496-9667,BPike@grtd123.com,1999-12-20,18
53,Alex,Rodriguez,Branch Manager,1 (617) 268-6754,1334.0,1 (617) 268-3464,ARodriguez@grtd123.com,1992-02-07,19
54,Allisia,Wilcox,Level 2 Sales Representative,1 (617) 268-6754,1436.0,1 (617) 268-3464,AWilcox@grtd123.com,1997-07-12,19
55,Pierre,Lavoie,Level 3 Sales Representative,1 (617) 268-6754,1447.0,1 (617) 268-3464,PLavoie@grtd123.com,1994-10-08,19
56,Rhonda,Cummings,Level 2 Sales Representative,1 (617) 268-6754,1384.0,1 (617) 268-3464,RCummings@grtd123.com,1996-05-06,19
57,Samantha,Floyd,Branch Manager,1 (206) 292-0012,331.0,1 (206) 292-3312,SFloyd@grtd123.com,1995-07-17,20
58,Ashley,McCormick,Level 2 Sales Representative,1 (206) 292-0012,384.0,1 (206) 292-3312,AMccormick@grtd123.com,1996-04-15,20
59,Audrey,Lastman,Level 3 Sales Representative,1 (206) 292-0012,396.0,1 (206) 292-3312,ALastman@grtd123.com,1995-02-15,20
60,Bart,Scott,Level 2 Sales Representative,1 (206) 292-0012,312.0,1 (206) 292-3312,BScott@grtd123.com,1997-11-28,20
61,Julie,Olsen,Branch Manager,1 (310) 281-5722,2045.0,1 (310) 281-9087,JOlsen@grtd123.com,1998-02-18,22
62,Ken,Chambers,Level 2 Sales Representative,1 (310) 281-5722,2123.0,1 (310) 281-9087,KChambers@grtd123.com,1998-04-03,22
63,Chad,Michaels,Level 3 Sales Representative,1 (310) 281-5722,2178.0,1 (310) 281-9087,CMichaels@grtd123.com,1996-05-17,22
64,Maureen,Hoffman,Level 2 Sales Representative,1 (310) 281-5722,2160.0,1 (310) 281-9087,MHoffman@grtd123.com,1998-07-22,22
65,Corey,Wright,Branch Manager,1 (305) 557-4810,3490.0,1 (305) 557-7650,CWright@grtd123.com,1995-10-11,21
66,Dale,Fowler,Level 2 Sales Representative,1 (305) 557-4810,3652.0,1 (305) 557-7650,DFowler@grtd123.com,1998-02-12,21
67,Lowell,Johnson,Level 2 Sales Representative,1 (305) 557-4810,3335.0,1 (305) 557-7650,LJohnson@grtd123.com,1997-03-06,21
68,Margaret,Lewiston,Level 2 Sales Representative,1 (305) 557-4810,3121.0,1 (305) 557-7650,MLewiston@grtd123.com,1996-08-18,21
69,Eric,Carson,Level 2 Sales Representative,1 (617) 268-6754,1387.0,1 (617) 268-3464,ECarson@grtd123.com,1996-11-08,19
70,Valerie,Cohen,Level 2 Sales Representative,1 (305) 557-4810,3547.0,1 (305) 557-7650,VCohen@grtd123.com,1997-07-23,21
71,Estelle,Johnson,District Manager,1 (617) 268-6754,1399.0,1 (617) 268-3464,EJohnson@grtd123.com,1998-12-04,19
72,Greg,Belding,Regional Manager,1 (206) 292-0012,373.0,1 (206) 292-3312,GBelding@grtd123.com,1998-12-04,20
73,Harold,Germaine,Level 1 Sales Representative,1 (310) 281-5722,2088.0,1 (310) 281-9087,HGermaine@grtd123.com,1998-11-19,22
74,Janice,Thomas,Level 1 Sales Representative,1 (305) 557-4810,3207.0,1 (305) 557-7650,JThomas@grtd123.com,1998-06-12,21
75,Julie,Béchard,Branch Manager,+33 4 52 26 33 88,1315.0,+33 4 66 35 98 95,JBechard@grtd123.com,1994-09-03,23
76,Florence,Martin,Level 2 Sales Representative,+33 4 52 26 33 88,1318.0,+33 4 66 35 98 95,FMartin@grtd123.com,1997-08-23,23
77,Daniel,Turpin,Level 2 Sales Representative,+33 4 52 26 33 88,1316.0,+33 4 66 35 98 95,DTurpin@grtd123.com,1998-05-13,23
78,Frédéric,Samson,Level 3 Sales Representative,+33 4 52 26 33 88,1322.0,+33 4 66 35 98 95,FSamson@grtd123.com,1994-02-21,23
79,Lucía,Reyna,Branch Manager,+(525) 549 6090,452.0,+(52) 549 6088,LReyna@grtd123.com,1997-03-10,24
80,Ana,Orozco,Level 2 Sales Representative,+(525) 549 6090,449.0,+(52) 549 6088,AOrozco@grtd123.com,1997-10-11,24
81,Gabriela,Rojas,Level 2 Sales Representative,+(525) 549 6090,465.0,+(52) 549 6088,GRojas@grtd123.com,1998-03-19,24
83,Machiko,Iseya,Level 1 Sales Representative,81-3-6259-6601,2236.0,81-3-6208-4445,MIseya@grtd123.com,1999-02-21,25
85,Genzo,Imori,Level 3 Sales Representative,81-3-6259-6601,2245.0,81-3-6208-4445,GImori@grtd123.com,1998-01-05,25
87,Kazumi,Uragome,District Manager,81-6-616-5656,2156.0,81-6-616-5657,KUragome@grtd123.com,1998-11-05,26
88,Masuzo,Kakui,Level 3 Sales Representative,81-6-616-5656,2155.0,81-6-616-5657,MKakui@grtd123.com,1998-05-12,26
89,Alice,Walter,Branch Manager,+(61) 03 2982  4242,1845.0,+(61) 03 2982  4243,AWalter@grtd123.com,1999-09-08,28
90,Dave,Smythe,Level 1 Sales Representative,+(61) 03 2982  4242,1875.0,+(61) 03 2982  4243,DSmythe@grtd123.com,2000-01-10,28
91,Donald,Ward,Level 2 Sales Representative,+(61) 03 2982  4242,1874.0,+(61) 03 2982  4243,DWard@grtd123.com,1999-11-29,28
92,Jake,Cartel,Level 2 Sales Representative,+(61) 03 2982  4242,1648.0,+(61) 03 2982  4243,JCartel@grtd123.com,1999-12-15,28
93,John,Sinden,Level 3 Sales Representative,+(61) 03 2982  4242,1892.0,+(61) 03 2982  4243,JSinden@grtd123.com,1999-11-30,28
94,Yolanda,Torres,Level 3 Sales Representative,+35 94 322 3540,125.0,+35 91 548 1637,YTorres@grtd123.com,1995-08-29,29
95,Tomás,Iglesias,Level 2 Sales Representative,+35 94 322 3540,325.0,+35 91 548 1637,TIglesias@grtd123.com,1998-02-19,29
96,Bayard,Lopes,Branch Manager,+55 (11) 344-4444,3490.0,+55 (11) 333-2223,BLopes@grtd123.com,1997-08-12,30
97,Viviam,Barros,Level 3 Sales Representative,+55 (11) 344-4444,3364.0,+55 (11) 333-2223,VBarros@grtd123.com,2001-02-10,30
98,Eduardo,Guimarães,Level 2 Sales Representative,+55 (11) 344-4444,1442.0,+55 (11) 333-2223,EGuimaraes@grtd123.com,1999-02-14,30
99,Helena,Lindholm,Level 3 Sales Representative,+358(0)17 - 433 127,489.0,+358(0)17 - 433 129,HLindholm@grtd123.com,1997-08-17,31
100,Tuomas,Savolainen,Level 2 Sales Representative,+358(0)17 - 433 127,825.0,+358(0)17 - 433 129,TSavolainen@grtd123.com,1998-07-23,31
101,Chang-ho,Kim,Level 2 Sales Representative,82-2-778-6587,1228.0,82-2-778-6586,CKim@grtd123.com,1998-12-15,32
102,Jung-ho,Choi,Level 3 Sales Representative,82-2-778-6587,2641.0,82-2-778-6586,JChoi@grtd123.com,1998-11-27,32
103,Kwei-Ping,Kao,Level 2 Sales Representative,886-2-2975-1988,1541.0,886-2-2989-4978,KKwao@grtd123.com,1998-10-07,33
104,Chin-Tsai,Fang,Level 3 Sales Representative,886-2-2975-1988,2311.0,886-2-2989-4978,CFon@grtd123.com,1996-05-08,33
105,Xiangyong,Wang,Level 2 Sales Representative,86-21-6790-5612,334.0,86-21-6790-5612,XWang@grtd123.com,1998-05-07,34
106,Fei,Meng,Level 3 Sales Representative,86-21-6790-5612,365.0,86-21-6790-5612,FMeng@grtd123.com,1998-03-25,34
107,Walter,Taylor,Branch Manager,+(44) 181 2033144,3547.0,+(44) 181 5030282,WTaylor@grtd123.com,1995-06-09,35
108,Penelope,Tamrine,General Manager,+(44) 181 2033144,3542.0,+(44) 181 5030282,PTamrine@grtd123.com,1998-12-18,35
109,Humphrey,Willoughby,Level 2 Sales Representative,+(44) 181 2033144,3544.0,+(44) 181 5030282,HWilloughby@grtd123.com,1998-06-12,35
110,James,Ross-Hythe,Level 3 Sales Representative,+(44) 181 2033144,3621.0,+(44) 181 5030282,JHythe@grtd123.com,1997-09-12,35
111,Polly,Linton,Branch Manager,+(44) 121 3505267,1216.0,+(44) 121 3583843,PLinton@grtd123.com,1996-06-18,36
112,Josef,Lopez,Level 1 Sales Representative,+(44) 121 3505267,1287.0,+(44) 121 3583843,JLopez@grtd123.com,1999-01-02,36
113,Keith,Reed,Level 1 Sales Representative,+(44) 121 3505267,1198.0,+(44) 121 3583843,KReed@grtd123.com,1999-06-15,36
114,Janet,Walker,Level 3 Sales Representative,+(44) 121 3505267,1233.0,+(44) 121 3583843,JWalker@grtd123.com,1995-07-27,36
115,Emily,Browne,Level 2 Sales Representative,+(44) 121 3505267,1247.0,+(44) 121 3583843,EBrowne@grtd123.com,1998-07-20,36
116,Susanne,Sommer,Level 2 Sales Representative,+(41) 17 12 13 14,1115.0,+(41) 17 12 13 20,SSommer@grtd123.com,2000-01-17,37
117,Frank,Jever,Level 3 Sales Representative,+(41) 17 12 13 14,1154.0,+(41) 17 12 13 20,FJever@grtd123.com,1999-10-18,37
118,Gianni,Vertemati,Level 1 Sales Representative,+(41) 17 12 13 14,1254.0,+(41) 17 12 13 20,GVertemati@grtd123.com,2000-02-10,37
119,Gracy,Gellens,Branch Manager,+32 16 20.73.21,1349.0,+32 16 20.73.32,GGellens@grtd123.com,1999-09-10,38
120,Giele,Laermans,Level 1 Sales Representative,+32 16 20.73.21,1340.0,+32 16 20.73.32,GLaermans@grtd123.com,1999-11-15,38
121,François,De Crée,Level 1 Sales Representative,+32 16 20.73.21,1642.0,+32 16 20.73.32,FDecree@grtd123.com,1999-12-01,38
122,Yvette,Lattrez,Level 3 Sales Representative,+32 16 20.73.21,1633.0,+32 16 20.73.32,YLattrez@grtd123.com,1999-12-09,38
123,Willi,Seefelder,Level 2 Sales Representative,+(43) 13 79 56 32,325.0,+(43) 13 79 56 33,WSeefelder@grtd123.com,1998-10-28,39
124,Sabine,Grüner,Level 3 Sales Representative,+(43) 13 79 56 32,348.0,+(43) 13 79 56 33,SGruner@grtd123.com,1998-02-18,39
